,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
0,SK케미칼,285130,115500.0,11579852.0,,,,,,,,,,13374.72906,,,
1,BGF리테일,282330,217500.0,17283906.0,,,,,,,,,,37592.49555,,,
2,동양피스톤,92780,4700.0,13168460.0,5.06,0.77,1.66,40.26,2980.0,155.0,0.9100308349308388,1.4445839046927125,1.0509039269542404,618.91762,0.20769047651006714,3.993016903225807,15.217391304347828
3,진에어,272450,30300.0,30000000.0,20.8,10.5,1.65,115.81,7197.0,523.0,0.4200751080495204,0.6668276684234636,1.1589553714937328,9090.0,1.2630262609420593,17.380497131931165,50.480769230769226
4,케이씨텍,281820,20250.0,19839340.0,,,,,,,,,,4017.46635,,,
5,동아타이어,282690,13600.0,13733015.0,,,,,,,,,,1867.69004,,,
6,삼양패키징,272550,24700.0,14209804.0,14.5,1.61,,103.75,3101.0,410.0,,,,3509.821588,1.1318354040632053,8.560540458536584,11.10344827586207
7,테이팩스,55490,28250.0,4717650.0,245.65,1.69,0.44,99.34,636.0,53.0,,,,1332.736125,2.095497051886792,25.145964622641507,0.6879706900061062
8,롯데제과,280360,175000.0,4209102.0,,,,,,,,,,7365.9285,,,
9,제일약품,271980,73400.0,10504493.0,,,,,,,,,,7710.297862,,,
10,카카오,35720,138500.0,67908527.0,158.47,2.73,0.11,149.43,14642.0,1161.0,0.5948450625925668,0.94425767811753,1.047453475365207,94053.309895,6.423528882324819,81.01060283807062,1.7227235438884332
11,오리온,271560,117000.0,39533501.0,,,,,,,,,,46254.19617,,,
12,미원에스씨,268280,60400.0,5179111.0,,,,,,,,,,3128.183044,,,
13,경동도시가스,267290,42900.0,4717063.0,,,,,,,,,,2023.620027,,,
14,넷마블게임즈,251270,170000.0,85027180.0,62.52,9.47,,170.83,15000.0,2947.0,,,,144546.206,9.636413733333333,49.04859382422803,15.14715291106846
15,아이엔지생명,79440,57700.0,82000000.0,19.65,1.14,3.53,,42657.0,3219.0,0.7942009826151805,1.2607154752775152,1.0453026122624576,47314.0,1.1091731720467919,14.698353525939734,5.801526717557252
16,현대건설기계,267270,204000.0,9876295.0,,,,,,,,,,20147.6418,,,
17,현대로보틱스,267250,471500.0,16286617.0,,,,,,,,,,76791.399155,,,
18,현대일렉트릭,267260,125000.0,10205783.0,,,,,,,,,,12757.22875,,,
19,크라운제과,264900,15050.0,12523850.0,,,,,,,,,,1884.839425,,,
