,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
1000,정원엔시스,045510,2030.0,32209292.0,26.03,1.73,0,138.91
1001,한양이엔지,045100,13800.0,18000000.0,4.75,1.15,1.81,158.8
1002,누리텔레콤,040160,10100.0,12055535.0,18.77,2.15,0,153.32
1003,에쎈테크,043340,1425.0,72000000.0,57.0,3.66,0,51.76
1004,국순당,043650,5820.0,17858304.0,-39.32,0.54,0.86,652.43
1005,엘컴텍,037950,2165.0,84447519.0,27.06,2.44,2.31,155.31
1006,이오테크닉스,039030,95600.0,12280626.0,61.36,3.7,0.1,184.28
1007,서울제약,018680,11550.0,8384543.0,103.12,2.03,0.13,264.61
1008,텍셀네트컴,038540,12600.0,47748397.0,8.68,2.99,0,79.1
1009,나노엔텍,039860,6700.0,24468214.0,-11.04,6.4,0,249.91
1010,파나진,046210,9010.0,31941860.0,-163.82,12.67,0,145.5
1011,오공,045060,5320.0,11521974.0,11.74,1.16,1.13,96.04
1012,솔고바이오,043100,671.0,119725785.0,-7.89,2.0,0,51.85
1013,현대정보기술,026180,1855.0,59537195.0,168.64,2.19,0,65.4
1014,비츠로테크,042370,5130.0,22353873.0,3.08,0.91,0,212.27
1015,코아시아홀딩스,045970,5300.0,16955858.0,-10.84,0.88,0,80.12
1016,정상제이엘에스,040420,7400.0,15677552.0,15.95,1.79,5.81,160.96
1017,진양제약,007370,4855.0,12000000.0,-6.41,1.1,2.06,174.88
1018,넥슨지티,041140,12800.0,35373322.0,28.57,3.17,0,0
1019,위노바,039790,780.0,77898489.0,-2.27,2.35,0,201.56
1020,지니뮤직,043610,5790.0,49192753.0,29.39,3.55,0,220.19
1021,진성티이씨,036890,13450.0,22482268.0,28.99,2.7,1.19,115.08
1022,현대통신,039010,10100.0,8625000.0,8.28,1.9,1.29,194.4
1023,삼아제약,009300,16300.0,6370000.0,10.52,0.67,1.53,599.99
1024,파루,043200,3920.0,29665328.0,23.06,1.38,0,225.53
1025,에스씨디,042110,1620.0,48329564.0,11.17,0.83,0.0,300.49
1026,한국정보공학,039740,4000.0,8018397.0,-2.87,0.64,0,124.56
1027,디오,039840,35550.0,15171403.0,26.29,4.95,0,227.35
1028,네오위즈홀딩스,042420,12800.0,8856866.0,-7.82,0.38,2.58,772.14
1029,다산네트웍스,039560,7830.0,24822942.0,-4.58,1.35,0,102.93
1030,바이오스마트,038460,4790.0,17695692.0,133.06,1.41,0,57.3
1031,우리기술,032820,673.0,83571839.0,37.39,1.67,0,65.83
1032,폭스브레인,039230,1975.0,41753832.0,-3.22,5.0,0,138.25
1033,안국약품,001540,12750.0,13042420.0,96.59,1.12,1.73,199.14
1034,골드퍼시픽,038530,4515.0,6655713.0,-1.07,10.1,0,158.8
1035,세중,039310,3050.0,18121667.0,6.55,0.66,3.28,167.25
1036,우리기술투자,041190,9500.0,84000000.0,730.77,12.6,0.16,0
1037,HRS,036640,4510.0,16354800.0,18.56,0.99,1.77,615.91
1038,에스에이엠티,031330,1915.0,99995067.0,4.46,1.12,5.22,96.07
1039,NICE평가정보,030190,8900.0,60714820.0,19.1,3.48,1.46,188.69
1040,위즈코프,038620,1555.0,35562929.0,34.56,1.29,0,284.16
1041,이건홀딩스,039020,3410.0,14327078.0,12.63,0.47,0.88,46.09
1042,파인디지털,038950,5360.0,10200765.0,-2680.0,0.55,0.93,902.06
1043,나이스정보통신,036800,22650.0,10000000.0,7.47,1.44,1.54,123.47
