,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
300,파버나인,177830,5200.0,10711272.0,15.9,1.05,,57.87,770.0,33.0,,
301,덕신하우징,090410,1540.0,40060000.0,-5.07,1.09,,70.64,1216.0,106.0,,
302,창해에탄올,004650,17950.0,9190885.0,88.86,1.31,2.79,42.55,2126.0,78.0,0.774184762536798,1.2289417064686639
303,윈하이텍,192390,4400.0,9863089.0,26.83,0.87,0.68,237.34,646.0,16.0,0.9242070394182055,1.4670872266088746
304,아진엑스텍,059120,12000.0,6679623.0,58.82,2.41,1.67,733.6,176.0,10.0,0.6416650136232088,1.0185797176366709
305,콜마비앤에이치,200130,36000.0,29543558.0,35.79,8.37,0.36,268.76,2560.0,362.0,0.45830712383229016,0.7275172104958972
306,트루윈,105550,4415.0,10038714.0,-2.07,1.97,,61.52,332.0,149.0,,
307,우성아이비,194610,1920.0,20720000.0,120.0,1.5,,63.01,336.0,12.0,,
308,텔루스,196450,747.0,84848915.0,-0.77,1.2,,89.5,397.0,225.0,,
309,캐스텍코리아,071850,4230.0,12373089.0,7.05,0.47,3.07,70.61,2266.0,137.0,1.0918607842663737,1.7332209575472648
310,나노,187790,1175.0,39269856.0,-1.45,1.55,,46.86,482.0,142.0,,
311,케이사인,192250,2245.0,61476373.0,27.05,2.66,0.89,,321.0,54.0,0.6279848555778526,0.9968638203643809
312,오이솔루션,138080,11400.0,7739532.0,12.28,1.36,0.86,124.01,797.0,47.0,0.8045613275070699,1.2771614976576537
313,인터파크,108790,9580.0,33119780.0,134.93,1.92,1.04,91.42,4665.0,93.0,0.66091018905129,1.0491295293565193
314,한국정보인증,053300,7070.0,31165000.0,34.32,3.16,0.71,358.09,349.0,70.0,0.5865960838262981,0.9311632405462918
315,솔루에타,154040,5650.0,11026516.0,-18.05,0.84,,129.97,1404.0,1.0,,
316,이지웰페어,090850,6540.0,9893000.0,-198.18,2.67,0.61,86.63,523.0,6.0,,
317,SGA솔루션즈,184230,3120.0,31942497.0,29.71,2.16,,172.67,495.0,51.0,,
318,기가레인,049080,3195.0,48600920.0,-11.75,2.04,,53.86,754.0,91.0,,
319,인트로메딕,150840,8200.0,7202178.0,-8.84,4.37,,179.64,84.0,36.0,,
320,알티캐스트,085810,5770.0,21223160.0,101.23,1.22,,71.57,654.0,16.0,,
321,현대공업,170030,3905.0,15340000.0,3.87,0.63,2.36,178.2,2132.0,182.0,1.0609493695492578,1.68415214530749
322,엔브이에이치코리아,067570,3075.0,28722222.0,2.84,0.57,4.55,83.26,5697.0,215.0,1.0102247468029033,1.6036318257992366
323,디엠티,134580,4010.0,11250000.0,-6.83,1.04,1.62,249.84,774.0,73.0,0.8078544462837153,1.2823889978679568
324,큐브엔터,182360,1795.0,26573767.0,-9.11,2.77,,442.55,195.0,57.0,,
325,라이온켐텍,171120,13250.0,15386005.0,12.33,1.87,1.51,275.35,1207.0,187.0,0.7461514205966913,1.184441549982754
326,램테크놀러지,171010,3840.0,11382966.0,-13.43,2.56,,16.75,249.0,22.0,,
327,미동앤씨네마,161570,6600.0,13791786.0,-27.73,1.82,,,289.0,62.0,,
328,에이씨티,138360,3720.0,18282396.0,-40.0,1.79,1.61,103.26,251.0,26.0,,
329,해성옵틱스,076610,4895.0,16675000.0,41.84,1.11,2.04,50.04,3672.0,16.0,0.794673599231924,1.2614657073921116
330,내츄럴엔도텍,168330,22450.0,20231040.0,-33.16,9.16,,607.24,66.0,94.0,,
331,테스나,131970,12300.0,6850000.0,113.89,1.4,,152.21,303.0,14.0,,
332,파수닷컴,150900,7810.0,8142695.0,-5.22,4.62,0.64,293.78,214.0,78.0,0.45954506568672115,0.7294823206978964
333,엘티씨,170920,13300.0,7519943.0,-123.15,1.1,1.13,160.22,710.0,15.0,,
334,지엔씨에너지,119850,4045.0,16295828.0,9.84,1.07,1.5,166.76,1164.0,108.0,0.8411953393888515,1.3353143666566094
335,아미코젠,092040,55900.0,9595755.0,325.0,6.34,0.18,102.29,690.0,42.0,,
336,GH신소재,130500,5140.0,11000000.0,17.02,1.36,1.52,168.24,550.0,23.0,0.7581158148725521,1.203433842042418
337,파이오링크,170790,7990.0,6856330.0,-30.85,1.44,0.75,522.8,358.0,7.0,0.7007768243969282,1.1124138682426181
338,KG ETS,151860,4410.0,36000000.0,32.19,1.14,2.27,80.12,954.0,114.0,0.8373562681370416,1.3292202209129054
339,나스미디어,089600,82500.0,8754691.0,58.39,7.36,0.47,133.63,699.0,154.0,,
340,엑세스바이오,950130,5460.0,27064930.0,496.36,2.57,,,325.0,7.0,,
341,레고켐바이오,141080,59300.0,9954587.0,-37.99,9.81,,327.86,167.0,102.0,,
342,인터불스,158310,7210.0,7018360.0,-4.62,2.04,,139.12,52.0,60.0,,
343,윈팩,097800,1075.0,34091218.0,-1.7,0.93,,12.38,347.0,96.0,,
344,코렌텍,104540,14050.0,9937153.0,114.23,2.23,,301.67,360.0,16.0,,
345,제로투세븐,159580,5640.0,12290000.0,-6.78,1.44,,78.99,2298.0,122.0,,
346,지디,155960,1895.0,18709617.0,-2.35,0.37,5.28,167.97,322.0,108.0,,
347,아이원스,114810,11100.0,13415919.0,41.89,1.38,,31.6,850.0,61.0,,
348,우리이앤엘,153490,955.0,49900000.0,-2.55,0.56,,116.73,1471.0,46.0,,
349,아이센스,099190,27750.0,13734238.0,21.68,2.54,0.36,196.64,1325.0,257.0,0.6362534453817232,1.0099893885173388
350,포티스,141020,1700.0,43559591.0,-1.61,6.39,,72.73,501.0,20.0,,
351,스킨앤스킨,159910,887.0,81850380.0,-5.87,1.69,,106.77,384.0,7.0,,
352,SBI핀테크솔루션즈,950110,9500.0,24656540.0,52.2,6.57,1.06,121.54,857.0,58.0,0.4419318698118258,0.7015231150375657
353,우리로,046970,3535.0,23312456.0,321.36,1.96,,106.48,422.0,20.0,,
354,디젠스,113810,1715.0,21625452.0,16.33,1.12,1.46,73.7,1199.0,47.0,0.7715482847524452,1.2247565588602913
355,맥스로텍,141070,1700.0,24455065.0,-3.45,1.25,,50.62,401.0,35.0,,
356,와이엠씨,155650,24950.0,9865093.0,26.83,4.68,0.8,128.69,1228.0,109.0,0.5008517360063777,0.7950525726166228
357,아바텍,149950,7660.0,15607500.0,14.84,0.95,2.61,792.31,789.0,107.0,0.914053691281127,1.450969791095077
358,코이즈,121850,4320.0,10532840.0,28.24,1.4,1.27,72.59,314.0,8.0,0.7137687873780966,1.1330373239460565
359,모다,149940,8130.0,19086234.0,-271.0,3.37,,66.49,939.0,53.0,,
360,나노스,151910,1870.0,490837980.0,2.04,31.69,,62.99,397.0,527.0,,
361,엠씨넥스,097520,23800.0,8998218.0,-8.67,3.28,1.39,46.43,4125.0,239.0,0.5500169284776552,0.8730974508657477
362,네이블,153460,5840.0,6530014.0,208.57,1.13,,559.98,216.0,2.0,,
363,디지탈옵틱,106520,1840.0,34342127.0,-0.74,0.62,,38.96,637.0,228.0,,
364,피엔티,137400,14500.0,7933333.0,38.06,1.95,1.38,57.48,1085.0,75.0,0.663133906775512,1.0526594612112297
365,비아트론,141000,18800.0,12114710.0,16.88,2.3,0.53,366.55,764.0,140.0,,
