,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
450,아이씨케이,068940,2600.0,31179722.0,325.0,2.83,,258.45,247.0,2.0,,
451,CJ E&M,130960,93800.0,38732089.0,58.44,2.34,0.21,105.73,15384.0,280.0,0.6292214116000397,0.9988267306948185
452,한일진공,123840,3010.0,36625080.0,77.18,2.05,3.32,69.46,199.0,10.0,0.6680108533024286,1.0604011312584498
453,알파홀딩스,117670,12450.0,13089256.0,-2.88,3.08,0.32,117.47,566.0,14.0,,
454,포메탈,119500,5600.0,11847232.0,35.67,1.65,0.71,129.94,458.0,24.0,0.6894670253073759,1.0944606812703137
455,다원시스,068240,20000.0,24297142.0,68.03,3.51,0.25,220.39,742.0,92.0,,
456,씨젠,096530,36600.0,26234020.0,134.56,6.73,,968.1,737.0,101.0,,
457,와이솔,122990,13600.0,22973863.0,9.42,1.87,1.67,96.49,4357.0,430.0,0.7201957181166683,1.143239440561392
458,하이비젼시스템,126700,13850.0,14942112.0,40.86,2.5,0.14,318.9,775.0,47.0,0.6361952416655272,1.0098969958770208
459,화신정공,126640,1280.0,36373887.0,12.19,0.55,1.56,137.02,2050.0,45.0,1.0223092132476668,1.6228147205461285
460,코리아에프티,123410,3785.0,27841064.0,9.39,0.89,2.91,61.74,3667.0,164.0,0.8980947125988016,1.4256364915464155
461,엠에스오토텍,123040,2615.0,27204282.0,2.06,0.65,2.32,40.66,7479.0,411.0,0.9359564156983472,1.4857381988759417
462,이글루시큐리티,067920,4800.0,10996119.0,13.87,1.28,1.04,402.7,581.0,28.0,,
463,인터로조,119610,46700.0,10776000.0,26.52,5.62,0.38,302.41,737.0,233.0,,
464,하이텍팜,106190,12900.0,7088782.0,17.32,0.9,1.16,196.66,548.0,52.0,0.8814675010768285,1.3992424384851376
465,크루셜텍,114120,1785.0,58535785.0,357.0,0.93,,69.24,3200.0,83.0,,
466,에스디시스템,121890,6140.0,3800000.0,-3.39,0.88,1.63,150.3,636.0,73.0,0.8444766306006695,1.3405230917780633
467,알톤스포츠,123750,3480.0,12746297.0,-8.97,0.84,2.21,80.57,526.0,59.0,0.8560668202139876,1.3589213709627554
468,유비벨록스,089850,10750.0,7115697.0,-37.99,1.02,,65.53,964.0,33.0,,
469,지와이커머스,111820,5090.0,19903791.0,339.33,1.22,,915.15,424.0,12.0,,
470,오르비텍,046120,3700.0,21807489.0,26.81,1.63,2.7,232.29,417.0,29.0,0.6870361422731099,1.0906018949845082
471,한솔시큐어,070300,5820.0,7366074.0,-4.58,2.54,0.34,164.76,163.0,31.0,0.5114361370623405,0.8118542619873116
