,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억)
750,한양디지텍,078350,3350.0,10000000.0,-48.55,0.75,,77.72,882.0,5.0
751,동국알앤에스,075970,2290.0,18400000.0,23.37,0.59,3.49,123.85,945.0,36.0
752,라이트론,069540,5350.0,7452340.0,58.79,0.87,,159.83,415.0,6.0
753,디비케이,073190,2100.0,11968040.0,-4.52,0.73,,156.64,325.0,51.0
754,삼진엘앤디,054090,2560.0,24959232.0,-27.53,0.58,1.95,95.54,2566.0,5.0
755,에스텍파마,041910,17800.0,11776231.0,48.77,2.59,0.28,243.25,434.0,28.0
756,넥센테크,073070,2880.0,87508375.0,39.45,4.29,0.87,213.15,817.0,52.0
757,스포츠서울,039670,1840.0,29472296.0,-63.45,1.86,,166.99,161.0,3.0
758,세진티에스,067770,2710.0,8396593.0,-51.13,0.51,,901.46,326.0,7.0
759,한솔인티큐브,070590,2090.0,13879521.0,-5.81,1.1,1.43,100.17,634.0,2.0
760,삼원테크,073640,829.0,35627368.0,-2.79,3.34,,24.35,227.0,43.0
761,에이티테크놀러지,073570,6560.0,6102160.0,-1.77,2.05,,37.57,48.0,50.0
762,우주일렉트로,065680,13050.0,9934220.0,9.24,0.64,2.3,217.95,2180.0,190.0
763,토필드,057880,1845.0,17882859.0,-4.61,0.97,,104.62,190.0,51.0
764,아이리버,060570,5740.0,47548592.0,-17.88,4.68,,383.54,523.0,94.0
765,아프리카TV,067160,19300.0,11305067.0,20.06,3.51,1.5,192.21,798.0,160.0
766,투윈글로벌,066410,771.0,61670933.0,-4.91,2.29,,207.68,180.0,45.0
767,원익QnC,074600,14450.0,26288000.0,8.71,2.56,,79.38,1390.0,180.0
768,로체시스템즈,071280,5090.0,15296603.0,16.74,1.4,0.61,124.71,989.0,46.0
769,에버다임,041440,9490.0,17915944.0,9.72,1.01,1.16,77.52,3374.0,256.0
770,에스텍,069510,11350.0,10910000.0,8.39,0.77,4.41,181.83,2905.0,172.0
771,오텍,067170,11750.0,14785790.0,13.52,1.55,0.6,101.06,7097.0,280.0
