,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
900,성우테크론,045300,4280.0,8800586.0,11.26,1.04,,107.51,292.0,27.0,,,
901,에스에프에이,056190,39850.0,35908760.0,18.29,2.48,1.4,171.03,13197.0,1208.0,0.6293000334485739,0.9989515350998893,1.0732106662791467
902,신화인터텍,056700,2650.0,29135091.0,19.78,0.79,1.89,50.14,2155.0,71.0,0.884653311468655,1.404299597252494,1.0303674640548577
903,엑사이엔씨,054940,1415.0,33173548.0,17.91,0.76,,125.9,1648.0,37.0,,,
904,평화정공,043370,11100.0,21000000.0,4.37,0.48,1.35,90.59,12225.0,697.0,1.0688168861707972,1.6966410494688986,1.0543716439690862
905,APS홀딩스,054620,8370.0,20394221.0,8.14,1.08,,109.94,5550.0,323.0,,,
906,코위버,056360,9250.0,9796800.0,13.68,0.98,0.76,248.99,587.0,52.0,0.8715509989003956,1.3835009724984229,1.0907155265076116
907,성호전자,043260,985.0,29506142.0,41.04,0.69,,52.57,877.0,19.0,,,
908,UCI,038340,3600.0,11486547.0,-2.84,2.71,,120.59,232.0,4.0,,,
909,레이젠,047440,1045.0,27918129.0,-1.1,0.48,,69.87,998.0,116.0,,,
910,YW,051390,3975.0,11355368.0,17.51,0.55,2.52,,295.0,40.0,1.0021654379636993,1.5908384704697476,1.0345154540075483
911,삼영엠텍,054540,4475.0,13000000.0,21.51,0.77,2.01,142.91,718.0,32.0,0.8926130145574503,1.4169348383090024,1.030789821885736
912,이니텍,053350,10700.0,19790916.0,20.82,1.67,,161.09,2315.0,236.0,,,
913,에이디칩스,054630,3050.0,24692169.0,20.33,4.08,,81.54,253.0,19.0,,,
914,유진로봇,056080,5920.0,37111093.0,-30.2,5.92,,71.74,603.0,5.0,,,
915,태웅,044490,23750.0,20007381.0,31.09,0.75,,265.25,3220.0,129.0,,,
916,경남제약,053950,16000.0,11248376.0,1333.33,10.7,,88.04,398.0,53.0,,,
917,삼보모터스,053700,9190.0,14249335.0,7.28,0.63,0.73,39.61,8539.0,243.0,0.9685759954529748,1.5375185540931982,1.046141787203755
918,포스코켐텍,003670,51200.0,59070000.0,69.19,5.38,0.59,301.41,11177.0,853.0,0.4891939791625713,0.7765470371391751,1.0799869979723025
919,한컴시큐어,054920,5940.0,12583016.0,-660.0,1.48,,21.09,145.0,5.0,,,
920,코미팜,041960,39550.0,55184206.0,7910.0,23.09,,111.15,376.0,6.0,,,
921,프리엠스,053160,10150.0,6000000.0,37.04,1.27,0.49,847.68,203.0,7.0,0.7708021704786624,1.2235721762772,1.051689410729601
922,썬코어,051170,1360.0,38868605.0,-1.45,3.01,,28.41,435.0,219.0,,,
923,코나아이,052400,13450.0,15559118.0,-172.44,1.09,2.42,184.45,1179.0,58.0,0.8416487016582898,1.3360340344000383,1.0913139055027796
924,중앙오션,054180,2500.0,22476948.0,-9.54,2.86,,42.94,160.0,2.0,,,
925,SGA,049470,1110.0,89935452.0,,1.51,,160.02,1093.0,39.0,,,
926,지에스이,053050,1680.0,29987597.0,8.24,0.79,3.57,72.56,1042.0,73.0,0.9217007369768477,1.4631087194769128,1.0735170927012094
927,팜스웰바이오,043090,6970.0,25355720.0,-38.94,16.52,,141.09,157.0,25.0,,,
928,소리바다,053110,2175.0,53326454.0,-8.88,4.37,,113.88,393.0,7.0,,,
929,아이디스홀딩스,054800,15200.0,10347756.0,93.83,0.78,0.99,542.94,4414.0,313.0,0.8653602873176166,1.373673830419488,1.003625822897758
930,코데즈컴바인,047770,3190.0,37842602.0,81.79,4.73,,160.29,163.0,13.0,,,
931,안랩,053800,57600.0,10013855.0,39.45,2.91,1.22,318.19,1429.0,152.0,0.5965893306396691,0.9470265310504148,1.0731237593706864
932,YTN,040300,2155.0,42000000.0,26.6,0.49,0.7,78.51,1308.0,13.0,,,
933,CMG제약,058820,7600.0,108887244.0,422.22,8.17,,792.17,330.0,17.0,,,
934,JYP Ent.,035900,16150.0,34622921.0,65.65,7.6,,229.73,736.0,138.0,,,
935,한국테크놀로지,053590,2355.0,47059284.0,-8.12,3.64,,183.11,45.0,90.0,,,
936,KCC건설,021320,8940.0,21400000.0,11.49,0.62,1.12,100.1,11207.0,352.0,0.919954791812535,1.460337204286404,0.9883415364781433
937,세동,053060,952.0,19668840.0,-5.8,0.78,,38.66,1255.0,43.0,,,
938,프로텍,053610,20650.0,9460203.0,14.33,1.53,0.73,200.8,948.0,150.0,0.7642186857399376,1.2131215456773317,1.1094935823412853
939,액토즈소프트,052790,20500.0,11330638.0,-110.81,1.98,,263.15,724.0,109.0,,,
940,세코닉스,053450,14500.0,10925918.0,17.75,1.18,1.34,55.87,3125.0,140.0,0.7960372974465798,1.2636304433726233,1.0598329501773252
