,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
0,SK케미칼,285130,114000.0,11579852.0,0,0,0,0
1,BGF리테일,282330,210500.0,17283906.0,0,0,0,0
2,동양피스톤,092780,4160.0,13168460.0,4.48,0.68,1.88,40.26
3,진에어,272450,27400.0,30000000.0,18.81,9.49,1.83,115.81
4,케이씨텍,281820,19750.0,19839340.0,0,0,0,0
5,동아타이어,282690,12200.0,13733015.0,0,0,0,0
6,삼양패키징,272550,22500.0,14209804.0,13.2,1.47,0,103.75
7,테이팩스,055490,31950.0,4717650.0,277.83,1.91,0.39,99.34
8,롯데제과,280360,147000.0,4209102.0,0,0,0,0
9,제일약품,271980,61100.0,10504493.0,0,0,0,0
10,카카오,035720,149500.0,67908527.0,171.05,2.94,0.1,149.43
11,오리온,271560,104500.0,39533501.0,0,0,0,0
12,미원에스씨,268280,57300.0,5179111.0,0,0,0,0
13,경동도시가스,267290,36000.0,4717063.0,0,0,0,0
14,넷마블게임즈,251270,168000.0,85026385.0,61.79,9.36,0,170.83
15,아이엔지생명,079440,52000.0,82000000.0,17.71,1.03,3.92,0
16,현대건설기계,267270,206000.0,9876295.0,0,0,0,0
17,현대로보틱스,267250,455000.0,16286617.0,0,0,0,0
18,현대일렉트릭,267260,123500.0,10205783.0,0,0,0,0
19,크라운제과,264900,13900.0,12523850.0,0,0,0,0
