,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
150,영흥철강,012160,1210.0,85826509.0,403.33,0.35,2.48,67.09,1859.0,5.0,1.1621310294604004,1.8447680186903261
151,우리들휴브레인,118000,3850.0,21553594.0,-7.59,5.28,,122.11,112.0,57.0,,
152,한전기술,052690,23350.0,38220000.0,50.11,2.11,0.47,86.33,5060.0,59.0,0.6489871195406698,1.0302028362726707
153,GKL,114090,31650.0,61855670.0,17.12,3.77,3.16,298.8,5482.0,1512.0,0.6108029125548817,0.9695891859348594
154,SK,034730,295500.0,70360297.0,27.38,1.27,1.25,89.83,836175.0,52982.0,0.8255545219479471,1.3104861165972752
155,황금에스티,032560,9740.0,14000000.0,6.58,0.69,0.77,103.48,2253.0,202.0,0.9401303367450349,1.492363885536286
156,하이트진로,000080,22900.0,70133611.0,42.57,1.24,3.93,52.23,18902.0,1240.0,0.7758459203655282,1.2315786301534755
157,동양생명,082640,7470.0,161358585.0,66.7,0.42,2.68,,74295.0,298.0,,
158,유니온머티리얼,047400,2495.0,42000000.0,15.69,1.06,1.4,167.91,1072.0,80.0,0.8173010355026747,1.2973845235316446
159,형지엘리트,093240,5340.0,19059306.0,-9.73,1.61,,84.46,1741.0,21.0,,
160,키움증권,039490,103500.0,22099740.0,12.71,1.84,0.82,,9437.0,2307.0,0.6686261009164071,1.0613777759681
161,영원무역,111770,31700.0,44311468.0,12.77,1.12,0.79,150.35,20016.0,1794.0,0.8285324740415488,1.3152133208833696
162,아주캐피탈,033660,6960.0,57545890.0,8.19,0.54,5.03,,7616.0,696.0,1.0306512207924337,1.636056832098218
163,한미글로벌,053690,9740.0,10867583.0,11.37,0.99,3.08,182.24,1691.0,94.0,0.8684847830137921,1.378633658174467
164,동아지질,028100,12200.0,11500000.0,12.34,0.92,1.64,143.89,3232.0,125.0,0.8500746135359352,1.349409335778404
165,STX중공업,071970,4940.0,24665351.0,-0.01,-0.01,,12.79,4165.0,2832.0,,
166,LG하우시스,108670,92500.0,8967670.0,12.31,0.98,1.95,97.41,29283.0,1570.0,0.8411028060693896,1.3351674791679533
167,한세실업,105630,27300.0,40000000.0,23.25,2.4,1.21,87.76,15477.0,816.0,0.6496568844399847,1.0312660217784146
168,KGP,109070,3515.0,8991545.0,-1.04,1.74,,83.52,460.0,89.0,,
169,미원홀딩스,107590,47950.0,2331774.0,9.9,1.45,1.15,293.63,2878.0,405.0,0.8084221735076189,1.2832902086604125
170,NAVER,035420,881000.0,32962679.0,38.76,7.06,0.13,232.25,40226.0,11020.0,0.47689329558690235,0.7570209190912303
171,부국철강,026940,2615.0,20000000.0,16.55,0.47,2.87,653.42,1402.0,26.0,1.0677983110278906,1.69502416221554
172,KB금융,105560,67100.0,418111537.0,12.29,0.86,1.86,,253558.0,16769.0,,
173,한국철강,104700,35900.0,9210000.0,7.1,0.43,2.51,315.37,6634.0,530.0,1.124273694153428,1.7846732447993252
174,일진전기,103590,4560.0,37080390.0,120.0,0.53,1.32,52.91,6781.0,45.0,1.0034640347387795,1.5928998643565926
175,풍산,103140,50900.0,28024278.0,10.37,1.16,1.38,65.86,28318.0,2178.0,0.7911463203129794,1.2558665011255934
176,LG이노텍,011070,132500.0,23667107.0,633.97,1.76,0.19,96.97,57546.0,1048.0,0.6705887652269972,1.0644933113593913
177,명문제약,017180,6350.0,24040000.0,20.89,1.7,0.75,83.92,1422.0,101.0,0.6610473979239405,1.0493473348653042
178,비상교육,100220,12100.0,12996741.0,6.14,0.76,2.73,234.96,1439.0,355.0,0.9610800888509435,1.5256195440676783
179,동성코퍼레이션,102260,6130.0,45444970.0,7.44,0.91,3.26,86.4,8529.0,650.0,0.8805633817368039,1.3978072384936777
180,쌍방울,102280,1190.0,129124213.0,-9.52,0.88,,279.28,1138.0,151.0,,
181,LG유플러스,032640,15600.0,436611361.0,13.82,1.41,2.24,65.97,114510.0,7465.0,0.7454893403137665,1.183390563045152
182,아티스,101140,2475.0,23641211.0,-21.9,8.62,,159.44,115.0,21.0,,
183,아시아나항공,020560,5140.0,205235294.0,20.48,1.18,,30.14,57636.0,2565.0,,
184,SBS미디어홀딩스,101060,3325.0,139896190.0,36.94,0.68,0.75,315.66,5045.0,214.0,0.9293597250524678,1.475266605205164
185,S&TC,100840,15800.0,7084612.0,69.6,0.5,3.16,200.61,2541.0,12.0,1.0758341990328093,1.7077803392880466
186,진양홀딩스,100250,2845.0,55895292.0,9.64,0.52,4.92,138.26,2597.0,224.0,1.066818854975986,1.6934693726483903
187,하나니켈1호,099340,1545.0,22756200.0,,,,,,,,
188,하나니켈2호,099350,2340.0,3284000.0,,,,,,,,
189,엔케이,085310,1380.0,79983352.0,-2.45,0.6,,47.75,1646.0,292.0,,
190,한전KPS,051600,40250.0,45000000.0,20.51,2.29,1.69,210.78,12231.0,1058.0,0.7021548979397775,1.1146014236342265
191,이아이디,093230,415.0,122690174.0,-2.01,1.08,,104.11,360.0,28.0,,
192,기신정기,092440,4685.0,29200000.0,468.5,0.62,3.2,896.67,1078.0,101.0,0.995660475283488,1.5805124858681663
193,KSS해운,044450,8920.0,23185880.0,15.62,0.87,1.91,33.68,1411.0,326.0,,
194,효성ITX,094280,13950.0,11558200.0,23.68,3.18,1.43,83.8,3404.0,113.0,0.5886744778889832,0.9344624854678024
195,유나이티드제약,033270,28950.0,16207322.0,24.04,2.42,0.86,221.26,1769.0,271.0,0.6500126328923345,1.0318307372459108
196,디아이씨,092200,8440.0,22467410.0,25.5,1.06,0.59,45.27,5575.0,348.0,0.7919459112866982,1.2571357726784191
197,CJ제일제당,097950,358000.0,13176748.0,18.8,1.48,0.7,75.48,145633.0,8436.0,0.7171662225499026,1.138430416111775
198,팬오션,028670,5410.0,534539944.0,29.4,1.14,,100.31,18740.0,1679.0,,
199,한진중공업,097230,3550.0,106052508.0,-1.1,0.42,,53.41,28133.0,793.0,,
200,JW홀딩스,096760,8800.0,62020883.0,-61.11,4.7,0.84,98.17,6848.0,433.0,0.4715037822645258,0.7484655999736931
201,SK이노베이션,096770,194500.0,92465564.0,10.91,1.06,3.29,120.41,395205.0,32283.0,0.8217231724246122,1.3044042283334756
202,삼성카드,029780,38850.0,115858891.0,12.88,0.64,3.86,,34701.0,4309.0,0.9784434523347519,1.5531821655275821
203,베트남개발1,096300,522.0,124245360.0,,,,,,,,
204,알루코,001780,4140.0,74524102.0,12.94,1.54,1.21,86.68,4286.0,245.0,0.7236898922095176,1.148786096192141
205,웅진씽크빅,095720,7220.0,34621165.0,10.68,0.87,,148.26,6240.0,377.0,,
