,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
300,대우건설,047040,6140.0,415622638.0,-3.47,1.24,,70.78,111059.0,4672.0,,,
301,포스코대우,047050,24550.0,123375149.0,25.13,1.11,2.04,90.93,164921.0,3181.0,0.7949869468196321,1.2619631156824709,1.037076968121617
302,대우조선해양,042660,23750.0,106656288.0,-0.19,1.52,8.1,54.01,128192.0,15308.0,,,
303,두산인프라코어,042670,11150.0,208000119.0,36.56,1.12,,51.26,57296.0,4908.0,,,
304,진양화학,051630,2525.0,12000000.0,23.17,0.99,2.97,130.3,576.0,13.0,0.8758247093300152,1.3902850649302085,1.0997794246614079
305,동원F&B,049770,263000.0,3859124.0,18.92,1.81,0.95,63.64,22413.0,733.0,0.6971866474847275,1.1067148176354387,1.0704964984897516
306,두산중공업,034020,16750.0,106463093.0,-11.71,0.58,3.28,61.65,138927.0,7912.0,0.9563292321424004,1.5180780291307867,1.0048319312187526
307,한국내화,010040,3180.0,22863632.0,12.67,0.63,0.79,60.62,2584.0,96.0,0.9613618655915537,1.526066836762143,1.0383499332431192
308,한세예스24홀딩스,016450,11300.0,40000000.0,29.12,1.7,1.42,76.03,22400.0,861.0,0.7137746554742846,1.1330466389681186,1.0732990923447494
309,대성홀딩스,016710,8180.0,16089459.0,9.26,0.34,3.06,130.68,8902.0,294.0,1.196071857365977,1.8986457246123098,1.0517848465000146
310,대원제약,003220,22800.0,18203175.0,20.5,2.53,1.11,156.46,2407.0,291.0,0.6444565836537101,1.0230110588397312,1.1063957622831246
311,한국가스공사,036460,50300.0,92313000.0,-6.89,0.48,0.34,132.62,211081.0,9176.0,1.0175650656411286,1.6152838556448177,1.0038125005204115
312,미래아이앤지,007120,587.0,103587319.0,-17.79,0.91,,629.22,98.0,16.0,,,
313,화천기공,000850,61200.0,2200000.0,18.82,0.5,2.04,276.85,1748.0,42.0,1.0658750155579821,1.6919711209633619,1.0658750155579821
314,팜스코,036580,13650.0,36727943.0,18.78,1.69,0.73,54.3,9476.0,423.0,0.6874926146368633,1.0913264996949248,1.0317479244673404
315,KT&G,033780,107500.0,137292497.0,11.99,1.93,3.35,201.03,45033.0,14701.0,0.7391423855602063,1.1733154003925559,1.1594638397872563
316,현대중공업,009540,143500.0,56665426.0,20.01,0.59,,94.9,393173.0,16419.0,,,
317,디씨엠,024090,12550.0,11700000.0,7.51,0.81,3.19,377.59,1285.0,194.0,0.9199502181083452,1.4603299439835618,1.0804450021075798
318,AK홀딩스,006840,85700.0,13247561.0,15.77,1.78,0.64,74.69,29218.0,2137.0,0.6715606407165523,1.0660360675338931,1.0254202763008544
319,대한유화,006650,333500.0,6500000.0,7.97,1.6,1.2,90.79,15964.0,3430.0,0.7691506398184192,1.2209505347697724,1.1334300737161853
320,백산,035150,7290.0,24200000.0,8.07,1.41,1.24,176.48,2008.0,276.0,0.7656553949264044,1.2154021793513017,1.0817237949083136
321,지투알,035000,9250.0,16567409.0,10.25,1.03,2.7,136.42,4080.0,196.0,0.8281698424537544,1.3146376791194276,1.053760265722314
322,체시스,033250,1005.0,24000000.0,-5.78,0.82,,33.07,559.0,25.0,,,
323,자화전자,033240,25800.0,17900000.0,31.93,1.58,1.55,221.62,2985.0,193.0,0.7272050352601094,1.1543660379684693,1.0671346904818055
324,KT,030200,29900.0,261111808.0,10.98,0.64,2.68,97.88,227437.0,14400.0,0.9502942741343491,1.508498130440222,1.0317982074638186
325,하이트론,019490,4400.0,5530735.0,8.07,0.47,,174.38,411.0,80.0,,,
326,제일기획,030000,19750.0,115041225.0,25.75,2.62,1.52,144.17,32326.0,1495.0,0.6123640355257031,0.9720673141809929,1.0636206783973752
327,디피씨,026890,6070.0,41678175.0,18.68,1.69,1.15,240.78,1398.0,162.0,0.7217324499863826,1.1456788503479698,1.0831330278180578
328,케이씨,029460,21100.0,13554044.0,14.69,2.09,0.71,214.23,4875.0,541.0,0.6913111658688154,1.09738807193752,1.1136079742287666
329,대원화성,024890,2850.0,41249152.0,16.29,1.65,,116.95,1244.0,124.0,,,
330,E1,017940,59200.0,6860000.0,-15.3,0.31,3.38,89.33,39959.0,111.0,1.2153752620476834,1.9292879695106189,1.0363527931291443
331,SK가스,018670,104500.0,8967396.0,5.55,0.66,2.44,79.66,52547.0,1808.0,0.9684597653301535,1.5373340502739614,1.0623628933300364
332,다우기술,023590,26050.0,44866617.0,11.99,1.21,0.96,230.13,11534.0,2534.0,0.7668208515407877,1.217252226406997,1.0295142662126824
333,영보화학,014440,5050.0,20000000.0,9.27,0.87,1.98,105.0,1578.0,163.0,0.8867942882269547,1.4076981860108584,1.066610783113479
334,SKC,011790,44850.0,37534555.0,39.0,1.15,1.67,63.53,23594.0,1493.0,0.8004677824403826,1.2706633999125152,1.0566223731217035
335,와이비로드,010600,3295.0,15249884.0,-20.47,1.49,,58.5,853.0,4.0,,,
336,한국주강,025890,2475.0,11309259.0,-7.71,0.44,,,265.0,2.0,,,
337,덕양산업,024900,1600.0,32564980.0,-16.49,0.92,1.25,92.01,10502.0,23.0,,,
338,부산가스,015350,37400.0,11000000.0,8.28,0.69,1.34,123.7,8869.0,359.0,0.9591171166213005,1.5225035198853587,1.0678198841622557
339,에쓰씨엔지니어링,023960,3680.0,10963923.0,-2.5,1.59,,68.07,3103.0,107.0,,,
