,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
450,대창,012800,1145.0,91140499.0,11.34,0.6,,43.49,8177.0,302.0,,
451,국보,001140,9310.0,1682304.0,-2.72,0.76,0.54,46.76,873.0,2.0,0.8288876620104795,1.3157771466388963
452,일성건설,013360,1145.0,53403640.0,29.36,0.63,1.75,92.75,2858.0,81.0,0.9131609435145279,1.449552642351235
453,까뮤이앤씨,013700,9970.0,4515228.0,13.83,0.86,1.5,93.63,1397.0,44.0,0.8713598236007486,1.383197500626653
454,보락,002760,1340.0,59900000.0,26.27,1.88,1.04,195.56,357.0,20.0,0.6705255828461394,1.0643930155815517
455,선도전기,007610,3280.0,18000000.0,27.33,0.72,0.61,173.1,939.0,23.0,0.9081536899378282,1.4416041227561105
456,씨아이테크,004920,754.0,44787538.0,-19.84,0.97,,501.64,185.0,9.0,,
457,광동제약,009290,9530.0,52420851.0,17.81,1.04,0.84,133.28,10564.0,444.0,0.8391869598986735,1.3321262629411497
458,갤럭시아에스엠,011420,2630.0,27549644.0,-46.14,1.62,,304.3,526.0,37.0,,
459,남성,004270,2335.0,36212160.0,61.45,0.7,1.07,29.24,837.0,46.0,0.8990705242074204,1.4271854959204595
460,KISCO홀딩스,001940,71600.0,3695276.0,5.77,0.29,1.26,442.89,10581.0,871.0,1.26016130754525,2.000381385246951
461,태영건설,009410,12000.0,76400000.0,6000.0,1.03,,84.95,20593.0,971.0,,
462,한국특수형강,007280,2055.0,18020878.0,3.97,0.63,,179.18,2472.0,49.0,,
463,한솔로지스틱스,009180,2010.0,16477425.0,9.1,0.75,1.0,129.61,3847.0,51.0,0.994620363746407,1.5788614117200397
464,삼양통상,002170,42500.0,3000000.0,5.58,0.51,1.76,430.24,1958.0,311.0,1.0609706769679517,1.6841859687263392
465,SK텔레콤,017670,274000.0,80745711.0,13.2,1.21,3.65,89.02,170918.0,15357.0,0.8168417529234482,1.2966554578822296
466,진양폴리,010640,1660.0,10000000.0,2.37,0.94,1.51,28.52,173.0,2.0,0.8545259729524192,1.3564754283988194
467,미창석유,003650,82600.0,1739672.0,4.68,0.58,2.66,520.78,2806.0,167.0,1.0715606726813152,1.700996539062071
468,삼익THK,004380,26850.0,21000000.0,34.12,3.48,1.23,92.24,2511.0,217.0,0.5709505978766751,0.9063275796913065
469,미원상사,002840,222000.0,792938.0,8.97,1.04,,134.16,3017.0,228.0,,
470,서연,007860,7640.0,23479844.0,2.25,0.3,1.96,79.95,31883.0,1268.0,1.3120474127130106,2.0827454431727874
471,세우글로벌,013000,1865.0,23690705.0,103.61,1.39,,264.81,424.0,8.0,,
472,현대모비스,012330,269500.0,97343863.0,8.64,0.9,1.3,174.71,382617.0,29047.0,0.9029744698987869,1.4333826234177618
