,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
700,일동홀딩스,230,14800,10490296,0.99,0.99,1.01,152.43
701,대동공업,490,10650,23728210,-14.11,1.05,0.38,45.84
702,오리온홀딩스,1800,27050,62644053,6.84,0.89,2.22,64.71
703,깨끗한나라,4540,4100,37240693,20.6,0.74,0,35.79
704,태원물산,1420,3495,7600000,18.59,0.79,2.86,277.65
705,코오롱,2020,62700,12061185,40.27,1.37,0.8,54.67
706,삼성전자,5930,2442000,129098494,17.86,1.83,1.17,223.46
707,대유플러스,300,704,88120526,-16.76,0.68,0,88.05
708,BYC,1460,298500,624615,14.3,0.63,0.27,31.92
709,쌍용차,3620,5490,137949396,12.98,0.93,0,50.45
710,쌍용양회,3410,19250,100771919,9.6,1.06,0.83,60.54
711,SPC삼립,5610,145000,8629009,25.27,4.13,0.66,61.57
712,흥국화재,540,5540,64242645,11.47,0.65,0,0
713,우리종금,10050,551,674203406,11.24,1.57,0,0
714,일양약품,7570,39850,19045984,131.52,3.71,0.25,54.41
715,한진,2320,26150,11974656,7.91,0.41,1.53,46.71
716,수출포장,2200,15400,4000000,-296.15,0.27,3.25,120.77
717,현대차,5380,155500,220276479,8.21,0.62,2.57,84.91
718,모나미,5360,2925,18897307,9.85,0.75,2.39,68.48
719,한화케미칼,9830,33750,164809359,7.39,1.05,1.04,60.46
720,아세아,2030,115500,2191024,7.27,0.34,1.3,188.54
721,카프로,6380,8600,40000000,-45.03,1.37,0,72.25
722,롯데지주,4990,68800,73683000,35.01,1,0.66,87.69
723,대한방직,1070,78000,1060000,-20.25,0.46,0,26.52
724,서울식품,4410,254,337410000,254,3.22,0,48.79
725,IHQ,3560,2545,145153497,84.83,1.63,0,305.91
726,LS네트웍스,680,3010,78803016,-2.72,0.37,0,30.78
727,금호전기,1210,7260,6916051,-2.4,0.43,0,51.7
728,알보젠코리아,2250,27650,11857922,37.77,1.65,0,277.82
729,하이트진로홀딩스,140,10100,23206765,8.57,0.41,1.98,39.49
730,노루홀딩스,320,16100,13291151,19.9,0.48,2.8,123.61
731,기아차,270,33050,405363347,4.86,0.5,3.33,74.22
732,효성,4800,137500,35117455,10.6,1.26,3.64,36.66
733,CJ,1040,180000,29176998,25.36,1.37,0.75,70.53
734,두산,150,125000,19198003,16.93,1.03,4.08,63.08
735,휴스틸,5010,15250,6918617,-190.62,0.27,3.28,81.38
736,DB손해보험,5830,70000,70800000,9.46,1.06,2.36,0
737,대웅,3090,20450,58141980,59.97,1.82,0.49,179.84
738,동양물산,2900,1720,65388900,30.71,0.85,0.58,87.15
739,진양산업,3780,2800,13000000,27.18,1.03,6.25,144.85
740,영진약품,3520,9730,182892731,405.42,16.27,0,133.85
741,KCC,2380,407500,10556513,28.24,0.67,2.21,105.11
742,롯데칠성,5300,1343000,799346,26.3,0.78,0.75,64.93
743,일신방직,3200,107500,2400000,13.01,0.37,2.61,276.65
744,롯데푸드,2270,551000,1131870,12.97,0.8,1.09,104.57
745,아모레G,2790,143500,82458180,37.26,4.22,0.32,171.13
746,제주은행,6220,7000,22128774,6.16,0.46,1.43,0
747,한솔홀딩스,4150,4475,46359871,-50.28,0.36,0,31.79
748,벽산,7210,3885,68560000,11.84,1.01,0.9,164.18
749,한국제지,2300,22500,5004949,6.37,0.22,2.67,119.03
750,롯데손해보험,400,2860,134280000,13.24,0.76,0.35,0
751,대한제분,1130,164500,1690000,10.2,0.41,1.22,197.93
752,대상,1680,26800,34648025,14.94,1.14,1.49,110.89
753,LG,3550,92300,172557131,15.1,1.17,1.08,121.67
754,동아쏘시오홀딩스,640,139500,6138228,4.91,0.96,0.72,48.86
755,코리안리,3690,11250,120369116,8.46,0.61,2.89,0
756,한국주철관,970,9800,22800500,9.16,0.85,2.04,130.41
757,한일시멘트,3300,147000,7545313,13.72,0.69,1.09,219.15
758,NPC,4250,5100,36720000,5.28,0.87,1.57,104.54
759,한국유리,2000,34200,10079660,14.15,0.63,2.27,142.08
760,세아제강,3030,102500,6000000,9.44,0.47,1.71,100.67
761,대한전선,1440,1205,856473009,-57.38,3.23,0,91.89
762,대한제당,1790,24250,8840002,10.35,0.49,2.68,79.7
763,삼양홀딩스,70,129000,8564271,50.59,0.74,1.55,120.01
764,세기상사,2420,80000,407592,-28.55,1.35,0,20.28
765,한국타이어월드와이드,240,18850,93020173,6.7,0.62,1.59,547.17
766,전방,950,18800,1680000,-1.87,0.13,0,11.59
767,대한항공,3490,35750,94844634,-4.99,1.6,0,30.26
768,동일방직,1530,53700,2335786,-34.01,0.19,0.9,54.68
769,유한양행,100,219000,11665896,16.9,1.66,0.83,227.38
770,CJ대한통운,120,139000,22812344,56.83,1.04,0,109.64
771,메리츠화재,60,22850,110338000,10.51,1.53,3.63,0
772,경방,50,13600,27415270,12.65,0.55,1.32,38.72
773,유수홀딩스,700,6110,26041812,-305.5,0.73,0.82,109.14
774,한진중공업홀딩스,3480,4040,29529812,-0.35,0.25,0,10.62
