,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
3,진에어,272450,30300.0,30000000.0,20.8,10.5,1.65,115.81,7197.0,523.0,0.4200751080495204,0.6668276684234636,1.1589553714937328,9090.0,1.2630262609420593,17.380497131931165,50.480769230769226
6,삼양패키징,272550,24700.0,14209804.0,14.5,1.61,,103.75,3101.0,410.0,,,,3509.821588,1.1318354040632053,8.560540458536584,11.10344827586207
7,테이팩스,055490,28250.0,4717650.0,245.65,1.69,0.44,99.34,636.0,53.0,,,,1332.736125,2.095497051886792,25.145964622641507,0.6879706900061062
10,카카오,035720,138500.0,67908527.0,158.47,2.73,0.11,149.43,14642.0,1161.0,0.5948450625925668,0.94425767811753,1.047453475365207,94053.309895,6.423528882324819,81.01060283807062,1.7227235438884332
14,넷마블게임즈,251270,170000.0,85027180.0,62.52,9.47,,170.83,15000.0,2947.0,,,,144546.206,9.636413733333333,49.04859382422803,15.14715291106846
23,두산밥캣,241560,36950.0,100249166.0,20.77,1.11,1.89,112.16,39499.0,4140.0,,,,37042.066837,0.9377975856857135,8.947359139371981,5.344246509388541
26,화승엔터프라이즈,241590,26500.0,30268335.0,17.1,3.71,0.13,84.24,6402.0,438.0,,,,8021.108775,1.2529067127460167,18.31303373287671,21.695906432748536
27,LS전선아시아,229640,7480.0,30624879.0,17.16,1.87,2.01,101.55,3451.0,195.0,,,,2290.7409492,0.6637904807881774,11.747389483076924,10.897435897435898
29,일동제약,249420,27750.0,19629292.0,19.65,2.23,0.89,110.5,2013.0,148.0,,,,5447.12853,2.7059754247391954,36.804922499999996,11.348600508905852
31,두올,016740,7460.0,18235986.0,10.04,1.09,1.54,114.78,2959.0,184.0,,,,1360.4045556,0.4597514550861778,7.393503019565218,10.856573705179285
35,해성디에스,195870,18700.0,17000000.0,15.93,1.97,1.34,127.55,2762.0,258.0,,,,3179.0,1.1509775524981898,12.321705426356589,12.366603892027621
38,대림씨엔에스,004440,12000.0,12731947.0,3.94,0.53,5.0,187.06,2841.0,557.0,1.1276083032619209,1.78996660680605,1.149723884675614,1527.83364,0.537780232312566,2.7429688330341113,13.451776649746193
39,제이에스코퍼레이션,194370,15850.0,13335601.0,19.91,1.32,1.58,256.5,1885.0,124.0,0.8340982472187584,1.3240484350798885,1.152794380738424,2113.6927585,1.121322418302387,17.045909342741933,6.629834254143646
43,금호에이치티,214330,5420.0,9765000.0,5.6,0.61,1.85,122.14,2086.0,143.0,1.0593039818375682,1.681540255123058,1.1318977978585272,529.263,0.25372147651006716,3.70113986013986,10.892857142857142
44,제주항공,089590,38500.0,26356758.0,18.89,3.72,1.3,164.63,7476.0,584.0,,,,10147.35183,1.3573236797752808,17.375602448630136,19.692959237691902
45,현대코퍼레이션홀딩스,227840,15300.0,9100836.0,21.7,0.74,2.61,285.62,1536.0,94.0,,,,1392.427908,0.9065285859375,14.813062851063828,3.410138248847926
47,동일제강,002690,3565.0,15000000.0,11.25,0.41,0.56,455.38,947.0,56.0,1.120727989723189,1.7790447898567956,1.0489903730109802,534.75,0.5646779303062301,9.549107142857142,3.644444444444444
48,아이콘트롤스,039570,15100.0,16460000.0,13.18,1.41,0.99,239.74,1889.0,132.0,0.7674462402654523,1.2182449691264186,1.0842539148932122,2485.46,1.3157543673901535,18.829242424242423,10.698027314112291
50,이노션,214320,70300.0,20000000.0,21.52,2.15,1.35,158.92,10516.0,994.0,0.6602484410568679,1.048079069894036,1.073651997191782,14060.0,1.3370102700646633,14.14486921529175,9.990706319702603
51,토니모리,214420,20400.0,17640000.0,27.91,2.83,1.13,155.68,2331.0,176.0,,,,3598.56,1.5437837837837838,20.446363636363635,10.139734862056612
58,디와이파워,210540,24750.0,11041708.0,28.45,2.72,0.49,109.08,2291.0,140.0,,,,2732.82273,1.1928514753382802,19.520162357142855,9.560632688927944
59,삼성물산,028260,138500.0,189690043.0,246.88,1.25,0.4,81.78,281027.0,1395.0,0.780724857986036,1.2393234608647563,1.0596066541154263,262720.709555,0.9348593179836813,188.33025774551973,0.5063188593648736
62,삼성에스디에스,018260,254000.0,77377800.0,42.37,3.82,0.29,336.37,81802.0,6271.0,0.5479875742049538,0.8698760517584454,1.0792825706444416,196539.612,2.402625999364319,31.341032052304257,9.01581307528912
63,만도,204320,275500.0,9391424.0,12.97,1.76,1.82,100.66,58664.0,3050.0,,,,25873.37312,0.44104345288422203,8.48307315409836,13.569776407093293
64,서연이화,200880,10600.0,27028437.0,3.13,0.43,1.41,84.15,24029.0,1078.0,,,,2865.014322,0.11923152532356736,2.657712729128015,13.738019169329075
65,쿠쿠홀딩스,192400,96200.0,5315894.0,11.63,1.39,3.22,231.65,7167.0,954.0,0.8355925414334119,1.3264204792881793,1.1749232197413857,5113.890028,0.7135328628435886,5.360471727463312,11.951848667239895
68,BGF,027410,15550.0,32263719.0,4.2,0.83,5.14,120.12,50526.0,2172.0,0.9809603599148256,1.5571775072678984,1.161504296970164,5017.0083045,0.0992955766239164,2.3098564937845305,19.761904761904763
